GEOID,NAME,age15_17,age18_19,age20,age21,age22_24,age25_29,age30_34,age35_39,age40_44,age45_49,povWtotal,povW100,povW100_199,povW200,age20_24,age40_49,age15_49
01001,"Autauga County, Alabama",1271,568,490,198,944,1955,1707,2103,1703,1975,13548,2291,2425,8832,1632,3678,12914
01003,"Baldwin County, Alabama",3922,2272,1198,837,3314,5951,5797,6336,6716,7139,44960,5338,8649,30973,5349,13855,43482
01005,"Barbour County, Alabama",445,249,153,131,408,701,697,690,545,715,4825,1758,1179,1888,692,1260,4734
01007,"Bibb County, Alabama",376,153,291,129,378,658,523,619,622,880,4862,803,1199,2860,798,1502,4629
01009,"Blount County, Alabama",1141,578,417,212,903,1731,1711,1529,2040,2004,12693,2222,2542,7929,1532,4044,12266
01011,"Bullock County, Alabama",166,120,0,87,188,276,132,298,390,271,1963,823,474,666,275,661,1928
01013,"Butler County, Alabama",377,268,178,96,245,631,657,776,516,641,4501,1340,1050,2111,519,1157,4385
01015,"Calhoun County, Alabama",2218,1525,510,756,2558,4089,3615,3788,3364,3749,25995,6330,5575,14090,3824,7113,26172
01017,"Chambers County, Alabama",589,332,239,177,681,1070,964,973,1097,1132,7465,1402,2324,3739,1097,2229,7254
01019,"Cherokee County, Alabama",568,251,140,80,387,697,583,715,731,836,5195,839,1281,3075,607,1567,4988
01021,"Chilton County, Alabama",830,397,268,424,575,1503,1481,1255,1485,1525,9968,2076,2146,5746,1267,3010,9743
01023,"Choctaw County, Alabama",177,176,86,24,230,341,338,220,544,439,2622,809,526,1287,340,983,2575
01025,"Clarke County, Alabama",547,297,198,119,459,710,655,856,707,821,5480,1742,1124,2614,776,1528,5369
01027,"Clay County, Alabama",232,179,103,45,284,378,384,392,377,387,2836,673,753,1410,432,764,2761
01029,"Cleburne County, Alabama",281,126,73,38,265,417,445,470,425,595,3197,737,506,1954,376,1020,3135
01031,"Coffee County, Alabama",1040,477,202,337,1059,1560,1541,1842,1576,1739,11679,2024,2417,7238,1598,3315,11373
01033,"Colbert County, Alabama",1005,469,396,241,1025,1775,1492,1508,1878,1874,12117,2378,2465,7274,1662,3752,11663
01035,"Conecuh County, Alabama",258,209,44,35,194,343,172,386,490,384,2563,823,859,881,273,874,2515
01037,"Coosa County, Alabama",182,64,105,39,151,262,323,212,430,306,2187,256,764,1167,295,736,2074
01039,"Covington County, Alabama",681,340,201,91,678,1141,1082,1061,1049,1137,7582,1747,1554,4281,970,2186,7461
01041,"Crenshaw County, Alabama",257,126,108,50,246,411,375,496,376,429,2992,561,885,1546,404,805,2874
01043,"Cullman County, Alabama",1619,835,685,388,1333,2695,2247,2518,2549,2659,17893,3398,4547,9948,2406,5208,17528
01045,"Dale County, Alabama",961,567,307,272,881,1685,1743,1525,1490,1505,11206,2479,2953,5774,1460,2995,10936
01047,"Dallas County, Alabama",886,564,251,261,861,1319,1245,1263,1244,1233,9380,3178,2562,3640,1373,2477,9127
01049,"DeKalb County, Alabama",1512,775,323,437,1267,2198,2079,2553,2031,2278,15881,4096,4130,7655,2027,4309,15453
01051,"Elmore County, Alabama",1637,885,495,864,1127,2931,2865,2854,3022,2905,19377,2953,2771,13653,2486,5927,19585
01053,"Escambia County, Alabama",741,389,246,259,509,1130,1075,1022,1122,1067,7726,2213,1737,3776,1014,2189,7560
01055,"Etowah County, Alabama",2011,1189,601,568,1909,3155,3047,3345,3284,3611,23314,4629,5167,13518,3078,6895,22720
01057,"Fayette County, Alabama",339,197,57,87,289,499,477,402,562,571,3513,796,977,1740,433,1133,3480
01059,"Franklin County, Alabama",682,333,409,104,561,825,972,780,1218,1037,7057,1593,1798,3666,1074,2255,6921
01061,"Geneva County, Alabama",494,316,142,172,361,762,811,914,664,848,5622,1708,1110,2804,675,1512,5484
01063,"Greene County, Alabama",310,145,39,25,173,191,302,248,122,215,1832,796,416,620,237,337,1770
01065,"Hale County, Alabama",336,249,111,131,197,447,428,510,391,445,3367,934,786,1647,439,836,3245
01067,"Henry County, Alabama",324,129,55,132,333,392,460,492,604,550,3631,565,944,2122,520,1154,3471
01069,"Houston County, Alabama",2142,1024,589,658,1876,3573,3458,3264,3623,3460,24270,5460,5142,13668,3123,7083,23667
01071,"Jackson County, Alabama",1015,467,206,441,683,1476,1501,1566,1775,1752,11178,2733,2832,5613,1330,3527,10882
01073,"Jefferson County, Alabama",12330,8279,4744,3882,13249,25634,24144,22464,21315,21209,157253,29798,29459,97996,21875,42524,157250
01075,"Lamar County, Alabama",258,151,91,40,163,362,431,351,477,424,2829,683,541,1605,294,901,2748
01077,"Lauderdale County, Alabama",1731,1454,1087,798,2220,2755,2627,2529,2755,2883,20615,4298,5097,11220,4105,5638,20839
01079,"Lawrence County, Alabama",585,344,165,194,561,1068,910,1056,931,1155,7335,1477,1324,4534,920,2086,6969
01081,"Lee County, Alabama",2872,3925,2634,2514,5569,6045,5439,4926,5048,4816,41548,12167,6877,22504,10717,9864,43788
01083,"Limestone County, Alabama",2014,1059,478,517,1468,2738,3126,2781,3225,3366,21360,3521,3749,14090,2463,6591,20772
01085,"Lowndes County, Alabama",176,60,61,44,258,364,282,257,319,378,2265,774,542,949,363,697,2199
01087,"Macon County, Alabama",288,749,316,524,354,585,484,610,322,542,3506,1214,773,1519,1194,864,4774
01089,"Madison County, Alabama",6976,4777,2444,2578,7214,12673,12021,10663,11734,12307,83521,13167,14132,56222,12236,24041,83387
01091,"Marengo County, Alabama",384,356,96,110,256,617,562,487,699,658,4348,977,1404,1967,462,1357,4225
01093,"Marion County, Alabama",553,339,144,167,481,852,791,788,958,1005,6289,1226,1836,3227,792,1963,6078
01095,"Marshall County, Alabama",1879,1016,506,577,1585,2973,2758,2965,2969,3047,20828,5314,4861,10653,2668,6016,20275
01097,"Mobile County, Alabama",8365,5119,2469,3061,8803,15696,14362,13532,12272,13212,97398,22047,20394,54957,14333,25484,96891
01099,"Monroe County, Alabama",464,246,111,130,426,641,576,767,573,792,4917,1738,993,2186,667,1365,4726
01101,"Montgomery County, Alabama",4356,2957,1652,1800,5236,8957,8166,7493,7522,7261,55179,13427,11164,30588,8688,14783,55400
01103,"Morgan County, Alabama",2481,1209,549,930,1879,3685,3501,3537,3943,4014,26401,5156,5142,16103,3358,7957,25728
01105,"Perry County, Alabama",203,182,127,151,301,137,203,343,313,231,1961,941,534,486,579,544,2191
01107,"Pickens County, Alabama",388,253,195,82,275,723,660,749,553,749,3696,1137,690,1869,552,1302,4627
01109,"Pike County, Alabama",546,1103,964,851,1097,1069,845,1006,775,915,8366,2868,1867,3631,2912,1690,9171
01111,"Randolph County, Alabama",394,399,188,179,286,544,603,662,702,659,4667,874,1046,2747,653,1361,4616
01113,"Russell County, Alabama",1114,556,276,557,1086,2391,2086,1784,2010,1912,14090,3179,3500,7411,1919,3922,13772
01115,"St. Clair County, Alabama",1586,921,367,363,1574,2635,2990,2571,3025,3028,19641,3134,3802,12705,2304,6053,19060
01117,"Shelby County, Alabama",4458,2498,1471,1228,3486,6505,7072,7550,7652,7923,50624,5274,5836,39514,6185,15575,49843
01119,"Sumter County, Alabama",171,416,238,325,408,365,300,310,327,372,2969,1075,946,948,971,699,3232
