address,city,county,state,latitude,longitude,stateFIPS,GEOID
"1511 Starling Drive, Richmond, VA 23229",Henrico,Henrico County,VA,37.605212,-77.568371,51,51087
"16601 NE 19th Ave, North Miami Beach, FL 33162",North Miami Beach,Miami-Dade County,FL,25.92888,-80.161737,12,12086
"375 E. 49th St. Suite #2, Hialeah, FL 33013",Hialeah,Miami-Dade County,FL,25.86745,-80.275236,12,12086
"1919 Gillespie St., Fayetteville, NC 28306",Fayetteville,Cumberland County,NC,35.023514,-78.894037,37,37051
"491 N Cleveland Ave., Winston-Salem, NC 27101",Winston Salem,Forsyth County,NC,36.099944,-80.230875,37,37067
"952 East 25th Street, Hialeah, FL 33013",Hialeah,Miami-Dade County,FL,25.845124,-80.263082,12,12086
"531 Forest Parkway, Suite 100, Forest Park, GA 30297",Forest Park,Clayton County,GA,33.621347,-84.371938,13,13063
"2903 Professional Parkway, Augusta, GA 30907",Augusta,Richmond County,GA,33.499676,-82.080672,13,13245
"3220 Latrobe Dr., Charlotte, NC 28211",Charlotte,Mecklenburg County,NC,35.198976,-80.803625,37,37119
"1604 Jones Franklin Rd., Raleigh, NC 27606",Raleigh,Wake County,NC,35.759474,-78.729053,37,37183
"891 Norfolk Square, Norfolk, VA 23502",Norfolk,Norfolk city,VA,36.853032,-76.232807,51,51710
"68 N. East 167th Street, North Miami, FL 33162",Miami,Miami-Dade County,FL,25.927838,-80.199205,12,12086
"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021",Hollywood,Broward County,FL,26.011657,-80.18243,12,12011
"18400 NW 75th Place #118, Hialeah, FL 33015",Hialeah,Miami-Dade County,FL,25.941124,-80.323669,12,12086
"421 North Wendover Road, Charlotte, NC 28211",Charlotte,Mecklenburg County,NC,35.189599,-80.805828,37,37119
"4131 University Blvd S., Building #2, Jacksonville, FL 32216",Jacksonville,Duval County,FL,30.282132,-81.60155,12,12031
"1933 West 60th Street, Hialeah, FL 33012",Hialeah,Miami-Dade County,FL,25.877446,-80.32157,12,12086
"503 South 12th Street, Ft. Pierce, FL 34950",Fort Pierce,St. Lucie County,FL,27.443117,-80.335274,12,12111
"2425 Randleman Road, Greensboro, NC 27406",Greensboro,Guilford County,NC,36.036509,-79.799126,37,37081
"3305 Drake Circle, Raleigh, NC, 27607",Raleigh,Wake County,NC,35.814447,-78.694195,37,37183
