address,state,provAbortion
"1511 Starling Drive, Richmond, VA 23229",VA,Provides Abortions
"16601 NE 19th Ave, North Miami Beach, FL 33162",FL,Provides Abortions
"375 E. 49th St. Suite #2, Hialeah, FL 33013",FL,Provides Abortions
"1919 Gillespie St., Fayetteville, NC 28306",NC,Provides Abortions
"491 N Cleveland Ave., Winston-Salem, NC 27101",NC,Provides Abortions
"952 East 25th Street, Hialeah, FL 33013",FL,Provides Abortions
"531 Forest Parkway, Suite 100, Forest Park, GA 30297",GA,Provides Abortions
"2903 Professional Parkway, Augusta, GA 30907",GA,Provides Abortions
"3220 Latrobe Dr., Charlotte, NC 28211",NC,Provides Abortions
"1604 Jones Franklin Rd., Raleigh, NC 27606",NC,Provides Abortions
"891 Norfolk Square, Norfolk, VA 23502",VA,Provides Abortions
"68 N. East 167th Street, North Miami, FL 33162",FL,Provides Abortions
"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021",FL,Provides Abortions
"18400 NW 75th Place #118, Hialeah, FL 33015",FL,Provides Abortions
"421 North Wendover Road, Charlotte, NC 28211",NC,Provides Abortions
"4131 University Blvd S., Building #2, Jacksonville, FL 32216",FL,Provides Abortions
"1933 West 60th Street, Hialeah, FL 33012",FL,Provides Abortions
"503 South 12th Street, Ft. Pierce, FL 34950",FL,Provides Abortions
"2425 Randleman Road, Greensboro, NC 27406",NC,Provides Abortions
"3305 Drake Circle, Raleigh, NC, 27607",NC,Provides Abortions
"1125 E 17th St, Suite East-108, Santa Ana, CA 92701",CA,Provides Abortions
"7908 W. Sahara Ave., Las Vegas, NV 89117",NV,Provides Abortions
"1670 East Flamingo Road, Suite C, Las Vegas, NV 89119",NV,Provides Abortions
"2505 N. Shepherd Dr. St. 201, Houston, TX 77008",TX,Provides Abortions
"10 Southwest 44th Avenue, Plantation, FL 33317",FL,Provides Abortions
"516 Easton Ave, Somerset, NJ 08873",NJ,Provides Abortions
"800 2nd Avenue, 6th Floor, New York, NY 10017",NY,Provides Abortions
"2453 Wilcox Drive, Norman, OK 73069",OK,Provides Abortions
"10401 Old Georgetown Road, Suite 104, Bethesda, MD 20814",MD,Provides Abortions
"1615 East Osborn Road, Phoenix, AZ 85016",AZ,Provides Abortions
"2742 S.W. 8th Street Suite #20, Miami, FL 33135",FL,Provides Abortions
