address,state,provAbortion,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
"1511 Starling Drive, Richmond, VA 23229",VA,Provides Abortions,37.605212,-77.568371,1,rooftop,1511,Starling Dr,,,Henrico,VA,Henrico County,23229,US,Henrico,2018,51,51087,Tuckahoe,5179560,200105,1026,1,5.10872E+14,51087200105,"Richmond, VA",40060,metropolitan,,,,
"16601 NE 19th Ave, North Miami Beach, FL 33162",FL,Provides Abortions,25.92888,-80.161737,1,rooftop,16601,NE 19th Ave,,,North Miami Beach,FL,Miami-Dade County,33162,US,Miami2,2018,12,12086,North Miami Beach,1249475,212,3013,3,1.2086E+14,12086000212,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"375 E. 49th St. Suite #2, Hialeah, FL 33013",FL,Provides Abortions,25.86745,-80.275236,1,rooftop,375,E 49th St,Ste,2,Hialeah,FL,Miami-Dade County,33013,US,Miami2,2018,12,12086,Hialeah,1230000,603,1018,1,1.2086E+14,12086000603,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"1919 Gillespie St., Fayetteville, NC 28306",NC,Provides Abortions,35.023514,-78.894037,1,rooftop,1919,Gillespie St,,,Fayetteville,NC,Cumberland County,28306,US,Cumberland,2018,37,37051,,,200,3079,3,3.7051E+14,37051000200,"Fayetteville, NC",22180,metropolitan,"Fayetteville-Lumberton-Laurinburg, NC",246,,
"491 N Cleveland Ave., Winston-Salem, NC 27101",NC,Provides Abortions,36.099944,-80.230875,1,rooftop,491,N Cleveland Ave,,,Winston Salem,NC,Forsyth County,27101,US,Forsyth,2018,37,37067,Winston-Salem,3775000,700,2022,2,3.7067E+14,37067000700,"Winston-Salem, NC",49180,metropolitan,"Greensboro--Winston-Salem--High Point, NC",268,,
"952 East 25th Street, Hialeah, FL 33013",FL,Provides Abortions,25.845124,-80.263082,1,rooftop,952,E 25th St,,,Hialeah,FL,Miami-Dade County,33013,US,Statewide2,2018,12,12086,Hialeah,1230000,806,1002,1,1.2086E+14,12086000806,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"531 Forest Parkway, Suite 100, Forest Park, GA 30297",GA,Provides Abortions,33.621347,-84.371938,1,rooftop,531,Forest Pkwy,Ste,100,Forest Park,GA,Clayton County,30297,US,Clayton,2018,13,13063,Forest Park,1330536,40308,1100,1,1.3063E+14,13063040308,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122,,
"2903 Professional Parkway, Augusta, GA 30907",GA,Provides Abortions,33.499676,-82.080672,1,rooftop,2903,Professional Pkwy,,,Augusta,GA,Richmond County,30907,US,Richmond,2018,13,13245,Augusta-Richmond County consolidated government (balance),1304204,10105,2031,2,1.3245E+14,13245010105,"Augusta-Richmond County, GA-SC",12260,metropolitan,,,,
"3220 Latrobe Dr., Charlotte, NC 28211",NC,Provides Abortions,35.198976,-80.803625,1,rooftop,3220,Latrobe Dr,,,Charlotte,NC,Mecklenburg County,28211,US,Mecklenburg,2018,37,37119,Charlotte,3712000,2300,2000,2,3.7119E+14,37119002300,"Charlotte-Concord-Gastonia, NC-SC",16740,metropolitan,"Charlotte-Concord, NC-SC",172,,
"1604 Jones Franklin Rd., Raleigh, NC 27606",NC,Provides Abortions,35.759474,-78.729053,1,rooftop,1604,Jones Franklin Rd,,,Raleigh,NC,Wake County,27606,US,Cary,2018,37,37183,Raleigh,3755000,53008,1011,1,3.71831E+14,37183053008,"Raleigh, NC",39580,metropolitan,"Raleigh-Durham-Chapel Hill, NC",450,,
"891 Norfolk Square, Norfolk, VA 23502",VA,Provides Abortions,36.853032,-76.232807,1,rooftop,891,Norfolk Sq,,,Norfolk,VA,Norfolk city,23502,US,City of Norfolk,2018,51,51710,Norfolk,5157000,6400,1001,1,5.171E+14,51710006400,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,metropolitan,"Virginia Beach-Norfolk, VA-NC",545,,
"68 N. East 167th Street, North Miami, FL 33162",FL,Provides Abortions,25.927838,-80.199205,0.9,rooftop,68,NE 167th St,,,Miami,FL,Miami-Dade County,33162,US,Miami,2018,12,12086,Golden Glades,1226375,301,4001,4,1.2086E+14,12086000301,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021",FL,Provides Abortions,26.011657,-80.18243,1,rooftop,3829,Hollywood Blvd,Ste,C,Hollywood,FL,Broward County,33021,US,Loveland,2018,12,12011,Hollywood,1232000,91000,1029,1,1.20111E+14,12011091000,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",22744
"18400 NW 75th Place #118, Hialeah, FL 33015",FL,Provides Abortions,25.941124,-80.323669,1,rooftop,18400,NW 75th Pl,Ste,118,Hialeah,FL,Miami-Dade County,33015,US,Miami2,2018,12,12086,Country Club,1214895,12100,6001,6,1.2086E+14,12086012100,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"421 North Wendover Road, Charlotte, NC 28211",NC,Provides Abortions,35.189599,-80.805828,1,rooftop,421,N Wendover Rd,,,Charlotte,NC,Mecklenburg County,28211,US,Mecklenburg,2018,37,37119,Charlotte,3712000,2200,1003,1,3.7119E+14,37119002200,"Charlotte-Concord-Gastonia, NC-SC",16740,metropolitan,"Charlotte-Concord, NC-SC",172,,
"4131 University Blvd S., Building #2, Jacksonville, FL 32216",FL,Provides Abortions,30.282132,-81.60155,1,rooftop,4131,S University Blvd,Ste,2,Jacksonville,FL,Duval County,32216,US,Loveland,2018,12,12031,Jacksonville,1235000,16000,1010,1,1.2031E+14,12031016000,"Jacksonville, FL",27260,metropolitan,"Jacksonville-St. Marys-Palatka, FL-GA",300,,
"1933 West 60th Street, Hialeah, FL 33012",FL,Provides Abortions,25.877446,-80.32157,0.88,nearest_rooftop_match,1943,W 60th St,,,Hialeah,FL,Miami-Dade County,33012,US,Miami,2018,12,12086,Hialeah,1230000,9309,1004,1,1.2086E+14,12086009309,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"503 South 12th Street, Ft. Pierce, FL 34950",FL,Provides Abortions,27.443117,-80.335274,1,rooftop,503,S 12th St,,,Fort Pierce,FL,St. Lucie County,34950,US,Loveland,2018,12,12111,Fort Pierce,1224300,380500,5016,5,1.21114E+14,12111380500,"Port St. Lucie, FL",38940,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,,
