Facility Name,Address,Street address,City,State,Zipcode,Phone Number,Website,Still Open,Provides Abortions,New clinic since last update,MAB,Surgical/aspiration,MAB Gestational Limit,Surgical/aspiration Gestational Limit,Date Opened (Year),Date Updated
A Affordable Women's Medical Center,"7007 N. Freeway, Ste. 225, Houston, TX 77076","7007 N. Freeway, Ste. 225",Houston,TX,77076,(713) 535-9298,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/29/20
A Caring Choice for Women,"Parker, CO 80134",,Parker,CO,80134,(303) 840-5700,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
A Woman's Healthcare Specialists,"3400 East Bayaud Avenue Suite 400, Denver, CO 80209",3400 East Bayaud Avenue Suite 400,Denver,CO,80209,(303) 321-2044,http://denver.cylex-usa.com/company/a-womans-healthcare-specialist-5359531.html,Currently Closed,Does Not Provide Abortions,No,,,,,,7/24/20
A Women's Choice / Coast Family Planning Center,"2010 Wilshire Blvd #904, Los Angeles, CA 90057",2010 Wilshire Blvd #904,Los Angeles,CA,90057,,,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
AAA Concerned Women's Center,"7324 Southwest Freeway @ Fondren, Suite 978, Houston, TX 77074","7324 Southwest Freeway @ Fondren, Suite 978",Houston,TX,77074,(713) 988-2200,http://www.aaaconcernedwomenscenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/29/20
Abington Memorial Hospital,"1200 Old York Road, Abington, PA 19001",1200 Old York Road,Abington,PA,19001,(215) 481-2000,http://www.abingtonhealth.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/1/19
Abortion Advantage,"1929 Record Crossing Rd, Dallas, TX 75235",1929 Record Crossing Rd,Dallas,TX,75235,(214) 630-3333,http://www.abortionadvantage.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/29/20
Abortion Advantage San Antonio Surgical Center,"San Antonio, TX",,San Antonio,TX,,(214) 630-3333,http://www.abortionadvantage.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/29/20
Abortion Counseling & Care,"7601 Canby Ave., #5, Reseda, CA 91335","7601 Canby Ave., #5",Reseda,CA,91335,(818) 343-1473,http://www.jennyjerrome.org/pg_cty_ca_reseda.html,Currently Closed,Does Not Provide Abortions,No,,,,,,8/10/20
Abortion Service of Fort Lee,"2231 Lemoine Ave, Fort Lee, NJ 07024",2231 Lemoine Ave,Fort Lee,NJ,7024,(201) 944-1008,http://www.abortionservicesnj.com,Currently Closed,Does Not Provide Abortions,No,,,,,,8/14/20
Abortion Services of Phoenix,"3549 E. Cambridge Ave, Phoenix, AZ 85006",3549 E. Cambridge Ave,Phoenix,AZ,85006,(602) 468-3847,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
Abortion Women's Medical,"3713 85th St. Fl 1, Flushing, NY 11372",3713 85th St. Fl 1,Flushing,NY,11372,(718) 672-4844,http://www.abortion.to/pg_cty_ny_flushing.html,Currently Closed,Does Not Provide Abortions,No,,,,,,8/3/19
About Women By Women,"30 Washington Street, Wellesley, MA 02481",30 Washington Street,Wellesley,MA,2481,(781) 263-0033,http://www.aboutwomenbywomen.net/,Currently Open,Does Not Provide Abortions,No,,,,,,7/27/19
