GEOID,NAME,povWtotal,povW100,povW100_199,povW200
1001,"Autauga County, Alabama",13548,2291,2425,8832
1003,"Baldwin County, Alabama",44960,5338,8649,30973
1005,"Barbour County, Alabama",4825,1758,1179,1888
1007,"Bibb County, Alabama",4862,803,1199,2860
1009,"Blount County, Alabama",12693,2222,2542,7929
1011,"Bullock County, Alabama",1963,823,474,666
1013,"Butler County, Alabama",4501,1340,1050,2111
1015,"Calhoun County, Alabama",25995,6330,5575,14090
1017,"Chambers County, Alabama",7465,1402,2324,3739
1019,"Cherokee County, Alabama",5195,839,1281,3075
1021,"Chilton County, Alabama",9968,2076,2146,5746
1023,"Choctaw County, Alabama",2622,809,526,1287
1025,"Clarke County, Alabama",5480,1742,1124,2614
1027,"Clay County, Alabama",2836,673,753,1410
1029,"Cleburne County, Alabama",3197,737,506,1954
1031,"Coffee County, Alabama",11679,2024,2417,7238
1033,"Colbert County, Alabama",12117,2378,2465,7274
1035,"Conecuh County, Alabama",2563,823,859,881
1037,"Coosa County, Alabama",2187,256,764,1167
1039,"Covington County, Alabama",7582,1747,1554,4281
1041,"Crenshaw County, Alabama",2992,561,885,1546
1043,"Cullman County, Alabama",17893,3398,4547,9948
1045,"Dale County, Alabama",11206,2479,2953,5774
1047,"Dallas County, Alabama",9380,3178,2562,3640
1049,"DeKalb County, Alabama",15881,4096,4130,7655
1051,"Elmore County, Alabama",19377,2953,2771,13653
1053,"Escambia County, Alabama",7726,2213,1737,3776
1055,"Etowah County, Alabama",23314,4629,5167,13518
1057,"Fayette County, Alabama",3513,796,977,1740
1059,"Franklin County, Alabama",7057,1593,1798,3666
1061,"Geneva County, Alabama",5622,1708,1110,2804
1063,"Greene County, Alabama",1832,796,416,620
1065,"Hale County, Alabama",3367,934,786,1647
1067,"Henry County, Alabama",3631,565,944,2122
1069,"Houston County, Alabama",24270,5460,5142,13668
1071,"Jackson County, Alabama",11178,2733,2832,5613
1073,"Jefferson County, Alabama",157253,29798,29459,97996
1075,"Lamar County, Alabama",2829,683,541,1605
1077,"Lauderdale County, Alabama",20615,4298,5097,11220
1079,"Lawrence County, Alabama",7335,1477,1324,4534
1081,"Lee County, Alabama",41548,12167,6877,22504
1083,"Limestone County, Alabama",21360,3521,3749,14090
1085,"Lowndes County, Alabama",2265,774,542,949
1087,"Macon County, Alabama",3506,1214,773,1519
1089,"Madison County, Alabama",83521,13167,14132,56222
1091,"Marengo County, Alabama",4348,977,1404,1967
1093,"Marion County, Alabama",6289,1226,1836,3227
1095,"Marshall County, Alabama",20828,5314,4861,10653
1097,"Mobile County, Alabama",97398,22047,20394,54957
1099,"Monroe County, Alabama",4917,1738,993,2186
1101,"Montgomery County, Alabama",55179,13427,11164,30588
1103,"Morgan County, Alabama",26401,5156,5142,16103
1105,"Perry County, Alabama",1961,941,534,486
1107,"Pickens County, Alabama",3696,1137,690,1869
1109,"Pike County, Alabama",8366,2868,1867,3631
1111,"Randolph County, Alabama",4667,874,1046,2747
1113,"Russell County, Alabama",14090,3179,3500,7411
