fid,rcaUrbP,rcaSubrbP,rcaRuralP,state,name,note,totPop10,urbPop10,rurlPop10,cenRuralP,GEOID
"1","0.58","0.42","0",AL,"Autauga County, Alabama",NA,"54571","31650","22921",0.42,"01001"
"2","0.34","0.22","0.44",AL,"Baldwin County, Alabama",NA,"182265","105205","77060",0.42,"01003"
"3","0","0","1",AL,"Barbour County, Alabama",NA,"27457","8844","18613",0.68,"01005"
"4","0","1","0",AL,"Bibb County, Alabama",NA,"22915","7252","15663",0.68,"01007"
"5","0","0.44","0.56",AL,"Blount County, Alabama",NA,"57322","5760","51562",0.9,"01009"
"6","0","1","0",AL,"Bullock County, Alabama",NA,"10914","5307","5607",0.51,"01011"
"7","0","0.22","0.78",AL,"Butler County, Alabama",NA,"20947","6026","14921",0.71,"01013"
"8","0.68","0.29","0.03",AL,"Calhoun County, Alabama",NA,"118572","78617","39955",0.34,"01015"
"9","0","0.78","0.22",AL,"Chambers County, Alabama",NA,"34215","17399","16816",0.49,"01017"
"10","0","0.5","0.5",AL,"Cherokee County, Alabama",NA,"25989","3707","22282",0.86,"01019"
"11","0","0.33","0.67",AL,"Chilton County, Alabama",NA,"43643","5785","37858",0.87,"01021"
"12","0","0","1",AL,"Choctaw County, Alabama",NA,"13859","0","13859",1,"01023"
"13","0","0.11","0.89",AL,"Clarke County, Alabama",NA,"25833","6205","19628",0.76,"01025"
"14","0","0.5","0.5",AL,"Clay County, Alabama",NA,"13932","0","13932",1,"01027"
"15","0","0.75","0.25",AL,"Cleburne County, Alabama",NA,"14972","0","14972",1,"01029"
"16","0","0.43","0.57",AL,"Coffee County, Alabama",NA,"49948","26375","23573",0.47,"01031"
"17","0.64","0.36","0",AL,"Colbert County, Alabama",NA,"54428","30537","23891",0.44,"01033"
"18","0","0","1",AL,"Conecuh County, Alabama",NA,"13228","2520","10708",0.81,"01035"
"19","0","0","1",AL,"Coosa County, Alabama",NA,"11539","0","11539",1,"01037"
"20","0","0.07","0.93",AL,"Covington County, Alabama",NA,"37765","11461","26304",0.7,"01039"
"21","0","0.67","0.33",AL,"Crenshaw County, Alabama",NA,"13906","0","13906",1,"01041"
"22","0","0.22","0.78",AL,"Cullman County, Alabama",NA,"80406","21517","58889",0.73,"01043"
"23","0.07","0.79","0.14",AL,"Dale County, Alabama",NA,"50251","24679","25572",0.51,"01045"
"24","0","0.53","0.47",AL,"Dallas County, Alabama",NA,"43820","23821","19999",0.46,"01047"
"25","0","0.07","0.93",AL,"DeKalb County, Alabama",NA,"71109","7018","64091",0.9,"01049"
"26","0.47","0.47","0.07",AL,"Elmore County, Alabama",NA,"79303","36330","42973",0.54,"01051"
