fid,SVIth1,SVIth2,SVIth3,SVIth4,SVIS,GEOID
"1",-999,0.8758,0.9268,0.5409,-999,"35039"
"2",0.3631,0.581,0.5947,0.3741,0.4354,"01001"
"3",0.6143,0.3187,0.5915,0.1741,0.4242,"01009"
"4",0.8455,0.9077,0.6447,0.6259,0.8653,"01013"
"5",0.7866,0.8303,0.6507,0.6492,0.8252,"01015"
"6",0.6901,0.6609,0.4597,0.7943,0.7382,"01017"
"7",0.5373,0.8067,0.7256,0.1923,0.5408,"01031"
"8",0.6519,0.6858,0.397,0.1025,0.4274,"01033"
"9",0.8232,0.908,0.3941,0.4702,0.7723,"01039"
"10",0.6895,0.4444,0.3305,0.3945,0.5182,"01043"
"11",0.779,0.7463,0.6772,0.455,0.7599,"01045"
"12",0.4911,0.5422,0.581,0.5177,0.5401,"01051"
"13",0.7169,0.7587,0.6396,0.2904,0.6564,"01055"
"14",0.6971,0.6374,0.4725,0.2713,0.5519,"01067"
"15",0.6943,0.8542,0.5938,0.3502,0.6838,"01069"
"16",0.7927,0.5635,0.3126,0.3231,0.5726,"01071"
"17",0.4946,0.2451,0.4464,0.5622,0.4468,"01077"
"18",0.7373,0.5186,0.3725,0.2028,0.4952,"01079"
"19",0.5812,0.2999,0.6186,0.4521,0.5296,"01083"
"20",0.2863,0.1219,0.7217,0.3836,0.3076,"01089"
"21",0.7427,0.7682,0.7708,0.3149,0.7261,"01095"
"22",0.6815,0.5899,0.6845,0.723,0.7532,"01097"
"23",0.5838,0.6702,0.7504,0.5775,0.6895,"01103"
"24",0.7252,0.4814,0.4266,0.8157,0.7191,"01111"
"25",0.8433,0.88,0.7937,0.7768,0.9115,"01113"
"26",0.5475,0.3088,0.3961,0.2502,0.3656,"01115"
"27",0.0841,0.0691,0.6877,0.1764,0.1169,"01117"
"28",0.8729,0.7797,0.5883,0.7985,0.8736,"01121"
"29",0.6962,0.7014,0.8962,0.8271,0.8592,"04021"
"30",0.5207,0.8125,0.0637,0.46,0.4379,"05009"
"31",0.8761,0.9748,0.8943,0.8924,0.9803,"05011"
"32",0.6121,0.8691,0.5785,0.2951,0.6105,"05033"
"33",0.6809,0.9675,0.3512,0.4432,0.7013,"05037"
"34",0.4334,0.1872,0.5244,0.7568,0.4774,"05045"
"35",0.7041,0.6613,0.2677,0.5495,0.5943,"05047"
"36",0.6376,0.9239,0.6049,0.8313,0.828,"05051"
"37",0.5051,0.7418,0.1277,0.2566,0.3541,"05053"
"38",0.6344,0.9115,0.5552,0.6326,0.7525,"05063"
"39",0.8475,0.944,0.4132,0.4763,0.8045,"05083"
"40",0.3634,0.5619,0.4556,0.2334,0.3309,"05085"
"41",0.7564,0.6383,0.5256,0.3792,0.6535,"05087"
"42",0.7522,0.5928,0.6711,0.7437,0.7936,"05115"
"43",0.708,0.7622,0.2174,0.695,0.6548,"05117"
"44",0.6898,0.9828,0.2706,0.4858,0.7166,"05121"
"45",0.1844,0.737,0.5524,0.3257,0.3325,"05125"
"46",0.672,0.852,0.8351,0.6998,0.8328,"05131"
"47",0.6717,0.5871,0.4973,0.8523,0.7446,"05145"
"48",0.6583,0.3133,0.7953,0.9484,0.8064,"06007"
"49",0.171,0.1016,0.6937,0.2209,0.1838,"06017"
"50",0.643,0.3225,0.7459,0.9042,0.7605,"06023"
"51",0.2844,0.2563,0.8535,0.8902,0.5701,"06027"
"52",0.072,0.1213,0.7437,0.1974,0.1519,"06061"
"53",0.2331,0.0465,0.8405,0.7832,0.3739,"06079"
"54",0.4895,0.7533,0.6202,0.815,0.7022,"06089"
"55",0.6019,0.7205,0.6928,0.6676,0.7223,"06093"
"56",0.001,0.0296,0.4833,0.1404,0.0197,"08019"
"57",0.0019,0.0197,0.2025,0.0035,0,"08039"
"58",0.0006,0.0016,0.2763,0.15,0.0022,"08047"
"59",0.2631,0.0127,0.3426,0.5326,0.1392,"08051"
"60",0.4134,0.0423,0.6772,0.0102,0.1137,"08057"
"61",0.5455,0.0143,0.8682,0.6351,0.4452,"08065"
"62",0.0503,0.0102,0.4801,0.6829,0.1086,"08067"
"63",0.6975,0.6218,0.8481,0.8351,0.8373,"08071"
"64",0.4159,0.1283,0.7752,0.9634,0.628,"08075"
"65",0.5287,0.4833,0.5982,0.5969,0.5755,"08077"
"66",0.5041,0.702,0.5536,0.2846,0.4946,"08083"
"67",0.6166,0.5333,0.8048,0.6437,0.7153,"08085"
"68",0.0809,0.0264,0.1964,0.0016,0.0006,"08093"
"69",0.8446,0.9436,0.9032,0.7367,0.9392,"08099"
"70",0.7092,0.9048,0.7606,0.7937,0.8669,"08101"
"71",0.2943,0.0939,0.5963,0.6549,0.3401,"08103"
"72",0.1541,0.1299,0.3528,0.0751,0.0729,"08119"
"73",0.1936,0.425,0.5084,0.3719,0.2822,"08121"
"74",0.1054,0.0541,0.5374,0.1573,0.0818,"09005"
"75",0.0529,0.0481,0.5842,0.3483,0.1182,"09007"
"76",0.2283,0.1996,0.7558,0.5396,0.3561,"09011"
"77",0.3535,0.2095,0.7007,0.5428,0.4232,"09015"
"78",0.4764,0.6558,0.7819,0.8373,0.7268,"10001"
"79",0.3739,0.4285,0.7424,0.2206,0.3803,"12019"
"80",0.4653,0.0891,0.7256,0.6896,0.4863,"12033"
"81",0.164,0.5368,0.411,0.3031,0.2459,"12089"
"82",0.4774,0.6043,0.7361,0.66,0.6344,"12101"
"83",0.0777,0.1149,0.4747,0.1124,0.0761,"12109"
"84",0.2436,0.3642,0.5059,0.4225,0.3096,"12113"
"85",0.5717,0.5511,0.7151,0.4238,0.5914,"13015"
"86",0.415,0.4422,0.5425,0.6823,0.5159,"13039"
"87",0.7869,0.5301,0.7256,0.6272,0.7825,"13045"
"88",0.3194,0.2098,0.3136,0.0678,0.1318,"13047"
"89",0.1102,0.0904,0.7494,0.0955,0.1185,"13057"
"90",0.1608,0.2171,0.7475,0.0357,0.1334,"13073"
