GEOID,stateFIPS,countyFIPS,county,state,minDist_mi
"21007","21","007",Ballard County,Kentucky,118.525940876787
"21017","21","017",Bourbon County,Kentucky,64.8295155886542
"21031","21","031",Butler County,Kentucky,71.96543702402
"21065","21","065",Estill County,Kentucky,102.490108745128
"21069","21","069",Fleming County,Kentucky,67.6295025174683
"21093","21","093",Hardin County,Kentucky,39.8591612494423
"21099","21","099",Hart County,Kentucky,65.8765571601436
"21131","21","131",Leslie County,Kentucky,72.734452121772
"21151","21","151",Madison County,Kentucky,88.0857755515907
"21155","21","155",Marion County,Kentucky,54.858508132768
"21179","21","179",Nelson County,Kentucky,34.5356549890894
"17091","17","091",Kankakee County,Illinois,28.1981346268934
"17187","17","187",Warren County,Illinois,53.9904504302693
"17197","17","197",Will County,Illinois,15.6226622873165
"18027","18","027",Daviess County,Indiana,42.7193630264055
"18061","18","061",Harrison County,Indiana,19.8021171244351
"01001","01","001",Autauga County,Alabama,22.8407317123439
"01005","01","005",Barbour County,Alabama,50.5173541124119
"01023","01","023",Choctaw County,Alabama,93.1059014178552
"01035","01","035",Conecuh County,Alabama,76.3107722610169
"01051","01","051",Elmore County,Alabama,16.1932141251672
"01055","01","055",Etowah County,Alabama,86.8867091110496
"01065","01","065",Hale County,Alabama,31.9473423114744
"01089","01","089",Madison County,Alabama,96.4930425823866
"01113","01","113",Russell County,Alabama,19.7694797337066
"01117","01","117",Shelby County,Alabama,50.3896149408689
"05011","05","011",Bradley County,Arkansas,88.5997199729344
"05015","05","015",Carroll County,Arkansas,126.900297599401
"05019","05","019",Clark County,Arkansas,65.2483136498271
"05025","05","025",Cleveland County,Arkansas,59.057301175496
"05063","05","063",Independence County,Arkansas,82.7947245596113
"05067","05","067",Jackson County,Arkansas,75.0467851527882
"05121","05","121",Randolph County,Arkansas,100.33668525047
"06001","06","001",Alameda County,California,1.8493842260727
"06003","06","003",Alpine County,California,60.1081448587308
"06005","06","005",Amador County,California,38.705279592963
"06013","06","013",Contra Costa County,California,7.12238612275299
"06019","06","019",Fresno County,California,7.41631344864918
"06023","06","023",Humboldt County,California,14.6452376291207
"06033","06","033",Lake County,California,11.232889389705
"06037","06","037",Los Angeles County,California,10.8789579453651
"06047","06","047",Merced County,California,15.9744052391116
"06057","06","057",Nevada County,California,14.8854643414996
"06081","06","081",San Mateo County,California,7.15888299043526
"06085","06","085",Santa Clara County,California,9.22700204022026
"06115","06","115",Yuba County,California,17.1252770790325
"08013","08","013",Boulder County,Colorado,6.06397070804352
"08029","08","029",Delta County,Colorado,54.8268532756094
