GEOID,stateFIPS.x,countyFIPS.x,popTot,age15_49,whiteP,blackP,amIndP,asianP,pacIsP,hispP,otherP,povPerc,pciE,SVIth1,SVIth2,SVIth3,SVIth4,SVIS,rcaUrbP,rcaRuralP,state.x,totPop10,urbPop10,rurlPop10,cenRuralP,county,state.y,minDist_mi,gestational,funding,medical,personal,overall,legCon,govCon,stateCon
01001,01,001,55200,13112,76.88,19.14,0.29,1.03,0.06,2.77,2.61,15.4,29372,0.3631,0.581,0.5947,0.3741,0.4354,0.58,0,AL,54571,31650,22921,0.42,Autauga County,Alabama,22.84073171,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01003,01,003,208107,44319,86.27,9.5,0.73,0.81,0,4.49,2.69,10.6,31203,0.2232,0.199,0.4358,0.3359,0.2162,0.34,0.44,AL,182265,105205,77060,0.42,Baldwin County,Alabama,140.9007417,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01005,01,005,25782,4865,47.38,47.58,0.28,0.37,0,4.29,4.39,28.9,18461,0.978,0.9153,0.8558,0.9889,0.9959,0,1,AL,27457,8844,18613,0.68,Barbour County,Alabama,50.51735411,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01007,01,007,22527,4758,76.65,22.28,0.04,0.16,0,2.43,0.87,14,20199,0.7694,0.1203,0.4323,0.7189,0.6003,0,0,AL,22915,7252,15663,0.68,Bibb County,Alabama,27.8545914,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01009,01,009,57645,12478,95.51,1.5,0.24,0.34,0.03,9.13,2.38,14.4,22656,0.6143,0.3187,0.5915,0.1741,0.4242,0,0.56,AL,57322,5760,51562,0.9,Blount County,Alabama,76.34270414,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01011,01,011,10352,2015,21.99,76.25,1.18,0.54,0,0.49,0.05,31.4,20346,0.9771,0.4438,0.67490000000000006,0.765,0.8898,0,0,AL,10914,5307,5607,0.51,Bullock County,Alabama,33.96707183,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01013,01,013,20025,4481,52,45.22,0.01,1.15,0,0.33,1.61,23.5,20430,0.8455,0.9077,0.6447,0.6259,0.8653,0,0.78,AL,20947,6026,14921,0.71,Butler County,Alabama,47.72550652,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01015,01,015,115098,26928,74.33,20.57,0.31,0.93,0.01,3.65,3.85,18.6,24706,0.7866,0.8303,0.6507,0.6492,0.8252,0.68,0.03,AL,118572,78617,39955,0.34,Calhoun County,Alabama,75.91685772,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01017,01,017,33826,7431,57.6,39.38,0.29,1.2,0,2.27,1.54,16.6,22827,0.6901,0.6609,0.4597,0.7943,0.7382,0,0.22,AL,34215,17399,16816,0.49,Chambers County,Alabama,38.03849587,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01019,01,019,25853,5068,92.82,4.9,0.91,0.21,0,1.54,1.15,15,23356,0.6879,0.4492,0.2751,0.2741,0.4516,0,0.5,AL,25989,3707,22282,0.86,Cherokee County,Alabama,63.74010569,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
