GEOID,stateFIPS,countyFIPS,ageD,whiteD,blackD,asianD,hispD,raceD,p100D,p100_199D,p200D,incomeD,totalD
01001,01,001,243.13899999999998,123.8478696598286,125.6986706318728,4.700622945502,12.746186650824,266.9933498880274,100.804,92.15,185.472,378.42600000000004,888.5583498880275
01003,01,003,800.266,470.34261672146584,183.39421803344038,14.3710275586128,67.7105628641838,735.8184251777028,234.872,328.662,650.433,1213.967,2750.051425177703
01005,01,005,94.441,28.008764885228395,110.94638911779779,0.6895999370538001,7.0687828751958,146.7135368152758,77.352,44.802,39.648,161.802,402.9565368152758
01007,01,007,90.639,44.776696928878195,47.7971018474733,0.3075802481187,4.2496923771126,97.13107140158279,35.332,45.562,60.06,140.954,328.7240714015828
01009,01,009,226.07699999999997,138.362753920144,9.0634255724446,1.2165031182134,39.073613865171595,187.7162964759736,97.768,96.596,166.509,360.873,774.6662964759735
01011,01,011,36.497,5.26291891944,65.26340124525761,0.12425779751280001,5.442147903851999,76.09272586606241,36.212,18.012,13.986,68.21000000000001,180.79972586606243
01013,01,013,83.473,29.126834892414998,95.8982003301875,1.950116468567,2.1503365442295,129.125488235399,58.96,39.9,44.331,143.191,355.78948823539895
01015,01,015,527.32,243.97681003899837,269.28673858674,7.3130933501496,35.0776908256896,555.6543328015777,278.52,211.85,295.89,786.26,1869.2343328015777
01017,01,017,141.643,51.9832189252818,141.4237693389066,2.5291055498202,6.2699742072396,202.2060680212482,61.688,88.312,78.519,228.519,572.3680680212482
01019,01,019,91.756,59.4428086708976,9.973905479442799,0.607981523944,2.8213160825256,72.84601175681,36.916,48.678,64.575,150.16899999999998,314.77101175680997
01021,01,021,184.08999999999997,101.1521558307533,47.4097344941045,1.4752219565376,26.3132052746871,176.35031755608253,91.344,81.548,120.666,293.558,653.9983175560825
01023,01,023,48.069,18.855447215475,52.45849154110249,0.15852133037750002,0.863992370835,72.33645245778999,35.596,19.988,27.027,82.61099999999999,203.01645245778997
01025,01,025,103.931,36.369963299433394,117.7081995058788,0.7257309787819001,2.3251574838492,157.1290512679433,76.648,42.712,54.894,174.254,435.31405126794334
01027,01,027,55.973,28.8391508880904,18.256604003869,0.24574673086590001,2.9946471519723,50.33614877479761,29.612,28.614,29.61,87.836,194.1451487747976
01029,01,029,56.019999999999996,37.8275281696455,4.2241549337295,0.21509758764450002,2.6852505023520004,44.952031193371496,32.428,19.228,41.034,92.69,193.6620311933715
01031,01,031,215.26399999999998,102.6429437497971,95.076298379853,5.9139947809086,29.9074135315527,233.5406504421114,89.056,91.846,151.998,332.9,781.7046504421114
01033,01,033,222.22400000000002,117.84293848608188,91.4424719511037,2.4478344240808,12.464447242226099,224.1976921034925,104.632,93.67,152.754,351.05600000000004,797.4776921034926
01035,01,035,45.722,16.465361316196,56.015909085307506,0.1809082629735,1.905164085165,74.56734274964201,36.212,32.642,18.501,87.35500000000002,207.64434274964202
01037,01,037,37.818000000000005,17.560826220464797,31.003411614656606,0.1085334348082,1.797220291713,50.46999156164261,11.264,29.032,24.507,64.803,153.09099156164262
01039,01,039,142.264,80.56526713225381,45.204005749518004,1.1611683405144,4.565530268857801,131.49597149114402,76.868,59.052,89.901,225.82099999999997,499.580971491144
01041,01,041,54.967999999999996,26.2526919846282,33.2329727024862,0.9833203569216,2.2932316268532,62.7622166708892,24.684,33.63,32.466,90.78,208.5102166708892
01043,01,043,337.86499999999995,208.898908218728,10.7143687660576,3.9373552663984,25.9078269435216,249.4584591947056,149.512,172.786,208.908,531.206,1118.5294591947054
01045,01,045,214.40399999999997,96.6396607759128,109.60953613555121,4.9157733599519995,25.3205808020616,236.4855510734776,109.076,112.214,121.254,342.544,793.4335510734776
01047,01,047,184.46499999999997,32.000936439419995,314.508528695403,1.2703107653037,3.4737858563562005,351.2535617564829,139.832,97.356,76.44,313.628,849.3465617564827
01049,01,049,294.066,160.4094999177528,11.191772520091801,2.4852118024196996,76.8278568189627,250.914341059227,180.224,156.94,160.755,497.919,1042.899341059227
01051,01,051,367.803,186.07619050996303,200.6328408502705,4.560484049064499,20.3977356448965,411.66725105419454,129.932,105.298,286.713,521.943,1301.4132510541945
01053,01,053,146.333,59.274378838584,114.80373760136402,0.780496279416,6.483360901248,181.34197362061204,97.372,66.006,79.296,242.67399999999998,570.348973620612
01055,01,055,431.64599999999996,228.757573448768,172.82466930064,5.791969321984,31.011506991168,438.38571906256004,203.676,196.346,283.878,683.9,1553.93171906256
01057,01,057,65.346,38.02746411516,19.612624220448,0.5161722493199999,2.359919026872,60.5161796118,35.024,37.126,36.54,108.69,234.5521796118
01059,01,059,132.659,68.5455292742688,12.8030334652647,0.7798869419372999,40.8255582453543,122.95400792682511,70.092,68.324,76.986,215.402,471.0150079268251
01061,01,061,103.90400000000001,59.568752310303594,24.5691382862856,0.5953472588412,7.543083254651999,92.27632111008239,75.152,42.18,58.884,176.216,372.3963211100824
01063,01,063,36.269999999999996,4.036891876095,68.89426581132899,0.15559240631100002,1.000985084451,74.087735178186,35.024,15.808,13.02,63.852000000000004,174.209735178186
01065,01,065,64.898,16.754795917645502,91.7065217381005,0.30210770876,1.5275930005215,110.29101836502751,41.096,29.868,34.587,105.551,280.7400183650275
01067,01,067,63.739,31.377597906774604,43.238915785338,0.4565459427125999,3.0824416682630997,78.1555013030883,24.86,35.872,44.562,105.294,247.1885013030883
01069,01,069,449.67699999999996,203.2978804006332,314.17527861496774,7.878494426180701,26.7831259519131,552.1347793936948,240.24,195.396,287.028,722.664,1724.4757793936947
01071,01,071,196.899,125.97012136951321,17.8166244016152,1.9668372787609998,11.0181672843264,156.77175033421582,120.252,107.616,117.873,345.741,699.4117503342159
01073,01,073,3138.9639999999995,1012.2059768262001,3324.250859875575,87.239840720075,211.74678477314998,4635.4434621949995,1311.112,1119.442,2057.916,4488.47,12262.877462195
01075,01,075,49.251,30.7270391891112,13.645646364218399,0.09256211180639999,1.7276270958539999,46.192874760989994,30.052,20.558,33.705,84.315,179.75887476098998
01077,01,077,453.738,229.1179833262593,100.6806702226507,5.2807085142175,19.667481869135102,354.7468439322626,189.112,193.686,235.62,618.418,1426.9028439322626
01079,01,079,132.925,69.1282296800745,36.747271977292804,0.4790076334764001,5.4413826753132,111.79589196615689,64.988,50.312,95.214,210.514,455.2348919661569
01081,01,081,1069.547,385.2711697864536,485.8798893132071,56.593186385724,53.4910196406168,981.2352651260014,535.348,261.326,472.584,1269.258,3320.040265126001
01083,01,083,379.42299999999994,204.7539814102692,137.9776136681628,10.8260518226004,42.612262314217205,396.1699092152496,154.924,142.462,295.89,593.276,1368.8689092152495
01085,01,085,43.583999999999996,7.1776119677535,77.3290129528434,0.32942042095199997,1.3504654550772,86.18651079662611,34.056,20.596,19.929,74.581,204.3515107966261
01087,01,087,125.54299999999999,10.215429931707,186.3846964761012,0.8846220882884,2.9907519322296,200.47550042832623,53.416,29.374,31.899,114.689,440.70750042832617
01089,01,089,1668.059,699.2310849006769,996.7361531829982,69.1672768169057,142.8023255605122,1907.936840461093,579.348,537.016,1180.662,2297.026,5873.021840461093
01091,01,091,80.46699999999998,24.40075809769,106.2178842126675,0.39577877498249997,3.9026877972225,134.9171088825625,42.988,53.352,41.307,137.647,353.0311088825625
01093,01,093,114.395,72.479367460539,11.2275956879436,0.6215276170266001,5.401029995658,89.72952076116721,53.944,69.768,67.767,191.47899999999998,395.6035207611672
01095,01,095,385.97600000000006,210.3964409215825,25.562162913962496,4.4359288248199995,98.6735941548225,339.0681268151875,233.816,184.718,223.713,642.247,1367.2911268151875
01097,01,097,1968.917,711.9184697695122,1706.0825962110964,62.2153194615327,96.2834528132928,2576.499838255434,970.068,774.972,1154.097,2899.1369999999997,7444.553838255434
01099,01,099,90.57,33.2422458870398,94.3251063475714,0.678366658547,2.6102072086529997,130.8559261018112,76.472,37.734,45.906,160.112,381.5379261018112
