GEOID,stateFIPS,countyFIPS,age15_17D,age18_19D,age20_24D,age25_29D,age30_34D,age35_39D,age40_49D,age15_49D,whiteD,blackD,asianD,hispD,raceD,p100D,p100_199D,p200D,incomeD,age,race,income,index
01001,01,001,19.065,22.152,76.704,62.56,29.019,18.927,14.712,243.13899999999998,123.8478696598286,125.6986706318728,4.700622945502,12.746186650824,266.9933498880274,100.804,92.15,185.472,378.42600000000004,-0.14291803477737633,-0.12003317185720173,-0.12513292444556579,-0.1293613770267146
01003,01,003,58.83,88.608,251.403,190.432,98.549,57.024,55.42,800.266,470.34261672146584,183.39421803344038,14.3710275586128,67.7105628641838,735.8184251777028,234.872,328.662,650.433,1213.967,0.20115645292070192,0.09577966689928949,0.23800934061876813,0.1783151534795865
01005,01,005,6.675,9.711,32.524,22.432,11.849,6.21,5.04,94.441,28.008764885228395,110.94638911779779,0.6895999370538001,7.0687828751958,146.7135368152758,77.352,44.802,39.648,161.802,-0.2347520118988026,-0.1754012169394574,-0.21928190100960784,-0.2098117099492893
01007,01,007,5.64,5.967,37.506,21.056,8.891,5.571,6.008,90.639,44.776696928878195,47.7971018474733,0.3075802481187,4.2496923771126,97.13107140158279,35.332,45.562,60.06,140.954,-0.23710007832212812,-0.19822536431865428,-0.22834284468808833,-0.2212227624429569
01009,01,009,17.115,22.542,72.004,55.392,29.087,13.761,16.176,226.07699999999997,138.362753920144,9.0634255724446,1.2165031182134,39.073613865171595,187.7162964759736,97.768,96.596,166.509,360.873,-0.1534553070853144,-0.15652653973974104,-0.13276179744961258,-0.1475812147582227
01011,01,011,2.49,4.68,12.925,8.832,2.244,2.682,2.644,36.497,5.26291891944,65.26340124525761,0.12425779751280001,5.442147903851999,76.09272586606241,36.212,18.012,13.986,68.21000000000001,-0.27053748292278357,-0.20790988272875688,-0.25995879283406786,-0.24613538616186945
01013,01,013,5.655,10.452,24.393,20.192,11.169,6.984,4.628,83.473,29.126834892414998,95.8982003301875,1.950116468567,2.1503365442295,129.125488235399,58.96,39.9,44.331,143.191,-0.24152570798797526,-0.18349747051519671,-0.22737060125904182,-0.21746459325407128
01015,01,015,33.27,59.475,179.728,130.848,61.455,34.092,28.452,527.32,243.97681003899837,269.28673858674,7.3130933501496,35.0776908256896,555.6543328015777,278.52,211.85,295.89,786.26,0.032588505003549026,0.012845271392278196,0.052119613168085166,0.032517796521304126
01017,01,017,8.835,12.948,51.559,34.24,16.388,8.757,8.916,141.643,51.9832189252818,141.4237693389066,2.5291055498202,6.2699742072396,202.2060680212482,61.688,88.312,78.519,228.519,-0.20560066226339685,-0.14985650672543052,-0.1902854035327669,-0.18191419084053143
01019,01,019,8.52,9.789,28.529,22.304,9.911,6.435,6.268,91.756,59.4428086708976,9.973905479442799,0.607981523944,2.8213160825256,72.84601175681,36.916,48.678,64.575,150.16899999999998,-0.23641023345236098,-0.20940443288291744,-0.22433782761224424,-0.22338416464917424
