statecode,countycode,GEOID,state,county,blackR,asianR,hispR,whiteR
1,1,01001,AL,Autauga County,0.1986432548,0.011741753,0.029909252,0.7377078523
1,3,01003,AL,Baldwin County,0.0860755978,0.0106614584,0.0471881523,0.8320730713
1,5,01005,AL,Barbour County,0.4782872883,0.0046990197,0.0452483189,0.4551162602
1,7,01007,AL,Bibb County,0.2107260873,0.0021434313,0.0278199518,0.7440832366
1,9,01009,AL,Blount County,0.0150797219,0.0031992529,0.0965309722,0.867706568
1,11,01011,AL,Bullock County,0.6908226908,0.0020790021,0.0855360855,0.20997921
1,13,01013,AL,Butler County,0.4463183875,0.0143459482,0.0148601399,0.510952283
1,15,01015,AL,Calhoun County,0.209981955,0.0090136878,0.0406144096,0.7170811144
1,17,01017,AL,Chambers County,0.3978769471,0.0112467673,0.0261923378,0.5512419559
1,19,01019,AL,Cherokee County,0.0408077569,0.003931898,0.0171400214,0.9167048404
1,21,01021,AL,Chilton County,0.0993067435,0.0048843072,0.0818402809,0.7986179887
1,23,01023,AL,Choctaw County,0.4157597903,0.0019858607,0.0101676066,0.563269521
1,25,01025,AL,Clarke County,0.4474218948,0.0043603421,0.0131233596,0.5210820422
1,27,01027,AL,Clay County,0.134945221,0.0028711749,0.0328673971,0.8034756328
1,29,01029,AL,Cleburne County,0.0274983233,0.0022132797,0.0259557344,0.9281690141
1,31,01031,AL,Coffee County,0.170608689,0.0167742922,0.0796874403,0.6942417179
1,33,01033,AL,Colbert County,0.1600079651,0.0067703336,0.0323853659,0.7772306801
1,35,01035,AL,Conecuh County,0.4545454545,0.0023203779,0.022955167,0.5036048728
1,37,01037,AL,Coosa County,0.3050736191,0.0016880803,0.0262590265,0.6513176404
1,39,01039,AL,Covington County,0.123647062,0.0050203784,0.0185430106,0.8306297066
1,41,01041,AL,Crenshaw County,0.2359860587,0.0110368864,0.0241794946,0.7026575661
1,43,01043,AL,Cullman County,0.0124749308,0.0072462038,0.0447903734,0.916770127
1,45,01045,AL,Dale County,0.2045473033,0.014500122,0.0701618807,0.6797567721
1,47,01047,AL,Dallas County,0.703247661,0.0044897301,0.0115334982,0.26970642
1,49,01049,AL,DeKalb County,0.0147805294,0.0051878679,0.1506579223,0.7984981752
1,51,01051,AL,Elmore County,0.2090654977,0.0075114827,0.0315605413,0.7308426406
1,53,01053,AL,Escambia County,0.3099118281,0.0033303306,0.0259874976,0.6031174078
1,55,01055,AL,Etowah County,0.1552391755,0.0082234912,0.0413619118,0.7745042438
1,57,01057,AL,Fayette County,0.1150165624,0.004784689,0.0205496258,0.840571709
1,59,01059,AL,Franklin County,0.0377526943,0.0036349723,0.1787513551,0.7618455456
1,61,01061,AL,Geneva County,0.0914316166,0.0035019603,0.041680941,0.8355601233
1,63,01063,AL,Greene County,0.7943533473,0.0028356553,0.0171372211,0.1754407595
1,65,01065,AL,Hale County,0.5767524401,0.003003208,0.0142652379,0.3971742543
1,67,01067,AL,Henry County,0.254228422,0.0042429526,0.0269107817,0.6953792502
1,69,01069,AL,Houston County,0.2709147919,0.0107383691,0.0342928921,0.6607638692
1,71,01071,AL,Jackson County,0.0334133964,0.0058303955,0.0306822144,0.8904621702
1,73,01073,AL,Jefferson County,0.4314267363,0.0178962697,0.0408048918,0.4951478424
1,75,01075,AL,Lamar County,0.1013400942,0.0010865628,0.0190510685,0.8601231438
1,77,01077,AL,Lauderdale County,0.0985991437,0.0081743575,0.0285994673,0.8457440499
1,79,01079,AL,Lawrence County,0.1076114688,0.0022172276,0.0236605516,0.7630300085
1,81,01081,AL,Lee County,0.2264528206,0.041691483,0.0370179042,0.6768119994
1,83,01083,AL,Limestone County,0.1355608351,0.0168124147,0.0621644847,0.7582469797
