stateFIPS,state,stateAB,funding,medical,personal,gestRoe,gestDobb,lawRoe,lawDobb,legCon,govCon,stateCon
01,Alabama,AL,0.6363636363636364,0.41666666666666663,0.380952380952381,0.7272727272727274,2,2.161255411255411,3.4339826839826837,R,R,R
04,Arizona,AZ,0.8181818181818182,0.8333333333333333,0.9523809523809524,0.5454545454545454,0.4,3.14935064935065,3.0038961038961043,R,R,R
05,Arkansas,AR,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.7272727272727274,2,3.14935064935065,4.422077922077922,R,R,R
06,California,CA,0,0,0.04761904761904761,0.5454545454545454,0.4,0.593073593073593,0.4476190476190477,D,D,D
08,Colorado,CO,0.6363636363636364,0,0.1904761904761905,0,0,0.8268398268398268,0.8268398268398268,D,D,D
09,Connecticut,CT,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
10,Delaware,DE,0.6363636363636364,0,0.09523809523809525,0.3636363636363637,0.26666666666666666,1.0952380952380951,0.9982683982683984,D,D,D
12,Florida,FL,0.6363636363636364,0.41666666666666663,0.6071428571428571,0.5454545454545454,1,2.2056277056277054,2.66017316017316,R,R,R
13,Georgia,GA,0.6363636363636364,0.3333333333333333,0.1904761904761905,0.7272727272727274,0.5333333333333333,1.8874458874458877,1.6935064935064934,R,R,R
16,Idaho,ID,1,0.25,0.380952380952381,0.5454545454545454,2,2.1764069264069263,3.630952380952381,R,R,R
17,Illinois,IL,0,0,0.1904761904761905,0.5454545454545454,0.4,0.7359307359307359,0.5904761904761905,D,D,D
18,Indiana,IN,0.9545454545454546,1,0.9523809523809524,0.7272727272727274,0.5333333333333333,3.634199134199134,3.44025974025974,R,R,R
19,Iowa,IA,0.6363636363636364,0.08333333333333333,0.2261904761904762,0.7272727272727274,0.5333333333333333,1.6731601731601733,1.4792207792207792,R,R,R
20,Kansas,KS,1,0.8333333333333333,0.380952380952381,0.7272727272727274,0.5333333333333333,2.9415584415584415,2.747619047619047,R,D,S
21,Kentucky,KY,1,0.08333333333333333,0.5238095238095238,0.7272727272727274,1,2.3344155844155847,2.607142857142857,R,D,S
