GEOID,stateFIPS,countyFIPS,popTot,age15_49,whiteP,blackP,amIndP,asianP,pacIsP,hispP,otherP,povPerc,pciE
01001,01,001,55200,13112,76.88,19.14,0.29,1.03,0.06,2.77,2.61,15.4,29372
01003,01,003,208107,44319,86.27,9.5,0.73,0.81,0,4.49,2.69,10.6,31203
01005,01,005,25782,4865,47.38,47.58,0.28,0.37,0,4.29,4.39,28.9,18461
01007,01,007,22527,4758,76.65,22.28,0.04,0.16,0,2.43,0.87,14,20199
01009,01,009,57645,12478,95.51,1.5,0.24,0.34,0.03,9.13,2.38,14.4,22656
01011,01,011,10352,2015,21.99,76.25,1.18,0.54,0,0.49,0.05,31.4,20346
01013,01,013,20025,4481,52,45.22,0.01,1.15,0,0.33,1.61,23.5,20430
01015,01,015,115098,26928,74.33,20.57,0.31,0.93,0.01,3.65,3.85,18.6,24706
01017,01,017,33826,7431,57.6,39.38,0.29,1.2,0,2.27,1.54,16.6,22827
01019,01,019,25853,5068,92.82,4.9,0.91,0.21,0,1.54,1.15,15,23356
01021,01,021,43930,10167,83.31,9.44,0.28,0.43,0,7.78,6.53,18.6,24611
01023,01,023,13075,2599,56.75,42.75,0.07,0.1,0,0.56,0.33,22.2,22182
01025,01,025,24387,5488,53.04,45.82,0.1,0.5,0,0.2,0.54,25.4,21111
01027,01,027,13378,2806,83.02,14.78,1.16,0.13,0,3.1,0.91,18.4,23147
01029,01,029,14938,3173,94.18,2.63,0.26,0.02,0,2.42,2.91,18.5,21989
01031,01,031,51288,11710,75.89,17.21,1.2,1.3,0,6.92,4.39,15.1,27577
01033,01,033,54495,11904,79.43,15.81,0.67,0.49,0.05,2.48,3.54,16.3,24918
01035,01,035,12514,2550,50.89,47.71,0.45,0.14,0,0.84,0.8,22.2,17542
01037,01,037,10855,2113,65.71,34.21,0.08,0,0,0.46,0,14,22963
01039,01,039,37351,7552,84.67,12.92,0.16,0.43,0.03,1.62,1.8,18.3,23071
01041,01,041,13865,2924,71.68,23.07,0.79,1.36,0,1.98,3.12,15.7,23353
01043,01,043,82313,17916,95.24,1.21,0.42,0.41,0,4.3,2.72,15.8,22980
01045,01,045,49255,11208,72.86,19.79,0.77,1.29,0.01,6.23,5.28,18.4,23837
01047,01,047,40029,9388,28.12,70.47,0.02,0.56,0.06,1.03,0.76,31.1,18910
01049,01,049,71200,15890,85.63,1.41,1.31,0.2,0.87,14.35,10.57,22.1,21004
01051,01,051,81212,20449,74.9,21.43,0.26,0.48,0,2.89,2.94,12.3,27475
01053,01,053,37328,7819,61.87,31.93,3.85,0.36,0.19,2.24,1.79,24,18161
01055,01,055,102939,23288,80.35,15.75,0.73,0.72,0.06,3.77,2.39,17.3,24065
01057,01,057,16585,3567,84.99,11.93,0,0.65,0.04,1.72,2.4,20,21862
01059,01,059,31542,7025,83.91,4.4,1.55,0.38,0,16.91,9.76,20.2,19776
01061,01,061,26491,5656,86.33,9.55,0.79,0.41,0.02,3.88,2.9,24,20471
01063,01,063,8426,1795,17.15,79.67,0.57,0,0,1.7,2.61,38.7,14209
01065,01,065,14887,3376,39.62,58.76,0.19,0.26,0,0.87,1.16,26,20272
01067,01,067,17124,3603,71.12,27.73,0.02,0,0,2.62,1.12,13.5,24069
01069,01,069,104352,24325,69.37,26.91,0.29,0.84,0.02,3.29,2.58,18.3,25990
